town,n,mape_pct
BUKIT TIMAH,31,9.066730197146947
SERANGOON,181,8.61465120538783
CLEMENTI,266,8.466850656013147
CENTRAL AREA,92,8.411695194674405
BUKIT MERAH,496,8.373725040447624
TOA PAYOH,487,8.201293548089748
QUEENSTOWN,389,8.137389317320764
MARINE PARADE,58,8.004112505744176
KALLANG/WHAMPOA,367,7.457676987139022
GEYLANG,346,6.642237684994365
BUKIT PANJANG,405,5.75692358839458
BEDOK,626,5.704856429682416
BISHAN,204,5.616016694345192
ANG MO KIO,458,5.611694835741694
SEMBAWANG,430,5.594333907684783
PUNGGOL,826,5.505873023635509
SENGKANG,882,5.456737702261494
TAMPINES,1011,5.359925889703839
HOUGANG,622,5.318240618693775
JURONG EAST,249,5.28885609494749
JURONG WEST,769,4.907377495871796
CHOA CHU KANG,529,4.773254398727907
PASIR RIS,377,4.707626351248992
WOODLANDS,969,4.55714979659502
YISHUN,805,4.428791056593857
BUKIT BATOK,730,3.5802391586923497
